date,year,month,doy,lon,lat,NDVI,EVI,NDWI,NDMI,LST_Day_C,LST_Night_C,LST_DTR,ET_mm8day,LE_MJm2day,PET_mm8day,ET_stress,GPP_gCm2_8day,PsnNet_gCm2_8day,rainfall_mm_8day,NDVI_lag1,NDVI_future
2024-02-18,2024,2,48,86.37297841588,21.586434237262555,0.6618020304568527,0.4026405188387895,-0.6023248699908229,0.1805273833671399,32.03942922386311,18.890000000000043,9.21999999999997,25.1,0.0764,41.7,0.6019184652278178,47.400000000000006,27.1,2.112379816545914,0.8021638330757341,0.6474044345084325
2024-03-13,2024,3,72,86.37297841588,21.586434237262555,0.6222410865874363,0.3053912173985502,-0.5898502495840265,0.2179732313575526,33.115073643751344,22.49000000000001,9.100000000000025,11.3,0.0343,50.0,0.226,23.1,10.0,26.564385807348515,0.6618020304568527,0.61936240511861
2024-03-21,2024,3,80,86.37297841588,21.586434237262555,0.7063467003473319,0.4230492832557964,-0.653610771113831,0.1926726991834031,31.782099091844128,21.650000000000038,9.339999999999977,22.700000000000003,0.0691,54.400000000000006,0.4172794117647059,28.9,-3.6000000000000005,13.073860675596604,0.6222410865874363,0.7015381581974925
2024-05-24,2024,5,144,86.37297841588,21.586434237262555,0.8512285425782564,0.4939067260370283,-0.7476962186209087,0.3613861386138614,33.96216527241843,26.621778994025647,8.289838273270357,23.4,0.0708,51.400000000000006,0.4552529182879377,29.500000000000004,-2.2,60.642819601923364,0.7063467003473319,0.8366162788122906
2024-01-17,2024,1,16,86.37324382982628,21.58687922408636,0.5713730066122131,0.3019899679302689,-0.5592435353145504,0.3228552717747217,20.15487035384109,15.289255656980108,3.2197866584783608,11.1,0.0341,25.5,0.4352941176470589,35.8,29.7,3.5194044315567994,0.8161350844277674,0.601295533438974
2024-01-25,2024,1,24,86.37324382982628,21.58687922408636,0.8117732558139535,0.4403879514272197,-0.7354681517577446,0.2907067046337044,23.556431365250205,17.45959587617787,4.946538913360713,20.700000000000003,0.0634,31.6,0.6550632911392406,56.3,42.9,5.6943424019615225,0.5713730066122131,0.8083736518371364
2024-12-18,2024,12,352,86.37324382982628,21.58687922408636,0.8152901785714285,0.540250711829309,-0.7303191489361701,0.3223577235772358,22.61196422464542,15.776762408527077,5.411826416980644,19.9,0.0609,26.200000000000003,0.7595419847328244,49.3,33.4,7.998306026023148,0.8117732558139535,0.8125455943671401
2024-12-02,2024,12,336,86.34933027155873,21.587324210910147,0.8339021615472129,0.4360672642182915,-0.7496382054992764,0.3049109552077712,26.612462038661477,16.526428626202428,6.870691924917007,22.3,0.0682,29.3,0.7610921501706485,51.9,33.7,0.8899219356786174,0.804517453798768,0.8256115110190276
2024-12-02,2024,12,336,86.35416606736972,21.587324210910147,0.8447521865889214,0.4601397490868667,-0.7479281767955801,0.3272155217619297,26.61512240642163,16.523333716883393,6.872916390990064,25.6,0.0785,30.8,0.8311688311688312,53.1,28.0,0.8938387307210012,0.7934947049924357,0.8256115110190276
2024-12-02,2024,12,336,86.36867345480266,21.587324210910147,0.8530112283089486,0.48664492584828,-0.7745193874226132,0.3473527956457198,26.623103509702094,16.514048988926312,6.879589789209218,24.8,0.0759,30.200000000000003,0.8211920529801324,53.1,29.300000000000004,0.9055891158481295,0.7991631799163179,0.8543057721577827
2024-12-02,2024,12,336,86.37350925061364,21.587324210910147,0.84366576819407,0.5407324938574939,-0.7598627787307034,0.3482260183968462,26.62576387746225,16.510954079607288,6.881814255282268,22.8,0.0698,29.0,0.7862068965517242,52.7,32.9,0.9095059108905016,0.8064283134705671,0.8431102332331617
2024-02-18,2024,2,48,86.33697341502213,21.59093084022385,0.7201492537313433,0.4383540901692092,-0.6430056430056431,0.2618613138686131,31.979523810290782,18.890000000000043,9.21999999999997,29.9,0.091,41.2,0.7257281553398058,49.5,21.8,2.152572397211183,0.8126002290950745,0.715800581004095
2024-03-13,2024,3,72,86.33697341502213,21.59093084022385,0.7338056680161944,0.5114818864862959,-0.662703227371997,0.2200854700854701,33.12976142472021,22.49000000000001,9.100000000000025,21.700000000000003,0.0659,45.400000000000006,0.4779735682819383,30.6,4.9,26.91045173080258,0.7201492537313433,0.727863670991757
2024-03-21,2024,3,80,86.33697341502213,21.59093084022385,0.734990903577926,0.4525596504984878,-0.6677353541241621,0.2374567474048443,31.80196320036376,21.650000000000038,9.339999999999977,24.0,0.0728,54.7,0.4387568555758683,29.0,-5.9,12.665268706308465,0.7338056680161944,0.740865341929295
2024-05-24,2024,5,144,86.33697341502213,21.59093084022385,0.8589877835951135,0.4816989626149932,-0.7468022302394227,0.3986344537815127,34.06455990981477,26.653463394780573,8.286957873201729,22.700000000000003,0.0686,50.900000000000006,0.4459724950884086,29.1,-1.7000000000000002,58.896643104388495,0.734990903577926,0.8262242985430472
2024-10-15,2024,10,288,86.33697341502213,21.59093084022385,0.8996808025535795,0.3907549710845283,-0.832820061592609,0.4031660491748063,28.987007136024783,24.330000000000044,3.199999999999989,36.4,0.1109,46.1,0.789587852494577,71.4,43.0,9.57725294259309,0.8589877835951135,0.9076018372062395
2024-02-18,2024,2,48,86.3418093312889,21.59093084022385,0.69880277252678,0.419313369630974,-0.625075346594334,0.2672150411280846,31.985819342394432,18.890000000000043,9.21999999999997,29.5,0.09,41.3,0.7142857142857142,49.5,22.9,2.147976238733976,0.812835472578763,0.6948877472339299
2024-03-13,2024,3,72,86.3418093312889,21.59093084022385,0.7153097798259089,0.4941284663271081,-0.654320987654321,0.1962149616139974,33.1274490952864,22.49000000000001,9.100000000000025,20.0,0.0609,46.1,0.4338394793926247,29.6,6.0,26.861868057656466,0.69880277252678,0.7113195520779099
2024-03-21,2024,3,80,86.3418093312889,21.59093084022385,0.6971504307488402,0.3995290721962705,-0.6358990737783456,0.2209773539928486,31.799721205219527,21.650000000000038,9.339999999999977,22.5,0.0684,55.6,0.4046762589928057,28.5,-3.4000000000000004,12.717770235494985,0.7153097798259089,0.6828995809530447
2024-05-24,2024,5,144,86.3418093312889,21.59093084022385,0.8466569767441859,0.4601287570599155,-0.7416038382453735,0.3731423939475817,34.052426354007075,26.649207788465816,8.287344746503068,21.4,0.0648,52.400000000000006,0.4083969465648855,28.3,-0.6000000000000001,59.12727423007636,0.6971504307488402,0.8222539394208731
2024-09-29,2024,9,272,86.3418093312889,21.59093084022385,0.8684034736138945,0.5001346516369792,-0.7987138263665595,0.3964053919121317,30.077596283212216,24.770000000000035,3.800000000000012,21.700000000000003,0.066,34.5,0.6289855072463769,14.2,11.3,33.15976504142006,0.8466569767441859,0.8802116459822485
2024-02-18,2024,2,48,86.34664524755566,21.59093084022385,0.69880277252678,0.419313369630974,-0.625075346594334,0.2672150411280846,31.992114874498064,18.890000000000043,9.21999999999997,22.5,0.0687,41.0,0.5487804878048781,25.2,-11.4,2.1433800802567835,0.812835472578763,0.6948877472339299
2024-03-13,2024,3,72,86.34664524755566,21.59093084022385,0.7153097798259089,0.4941284663271081,-0.654320987654321,0.1962149616139974,33.125136765852595,22.49000000000001,9.100000000000025,5.9,0.0179,45.2,0.1305309734513274,7.0,-26.9,26.813284384510474,0.69880277252678,0.7111641876819245
2024-03-21,2024,3,80,86.34664524755566,21.59093084022385,0.6699801192842941,0.3804184226369656,-0.6247582205029013,0.1839323467230443,31.79747921007529,21.650000000000038,9.339999999999977,6.300000000000001,0.0192,55.2,0.1141304347826087,6.9,-33.800000000000004,12.770271764681347,0.7153097798259089,0.6647783489898611
2024-05-24,2024,5,144,86.34664524755566,21.59093084022385,0.8217677136596057,0.4445586027029162,-0.7217811529168104,0.3662010408107367,34.04029279819942,26.644952182151066,8.28773161980441,8.9,0.0271,51.7,0.172147001934236,8.4,-29.2,59.35790535576355,0.6699801192842941,0.7917934230722298
2024-09-29,2024,9,272,86.34664524755566,21.59093084022385,0.8729281767955803,0.4881816777382976,-0.7984084880636605,0.3805039450241791,30.07764945309014,24.77000000000004,3.8000000000000114,21.5,0.0655,34.2,0.6286549707602339,11.4,7.7,33.23975819752247,0.8217677136596057,0.8796851777572302
2024-02-18,2024,2,48,86.35148116382243,21.59093084022385,0.6887755102040816,0.4036326942482341,-0.6330558125192723,0.2499409959877271,31.99841040660171,18.890000000000043,9.21999999999997,21.0,0.064,40.900000000000006,0.5134474327628361,24.9,-7.9,2.1387839217795768,0.8082644628099173,0.6956716304297808
2024-03-13,2024,3,72,86.35148116382243,21.59093084022385,0.6965767634854771,0.4746086157543202,-0.6433057020849032,0.1990469208211144,33.12282443641878,22.49000000000001,9.100000000000025,3.4000000000000004,0.0103,48.900000000000006,0.0695296523517382,5.3,-12.400000000000002,26.76470071136435,0.6887755102040816,0.7065541878126435
2024-03-21,2024,3,80,86.35148116382243,21.59093084022385,0.6608784473953013,0.3718533277137055,-0.6232945091514143,0.1894659839063642,31.795237214931053,21.650000000000038,9.339999999999977,6.1000000000000005,0.0187,55.1,0.1107078039927404,6.800000000000001,-33.1,12.822773293867867,0.6965767634854771,0.6597927897400683
2024-05-24,2024,5,144,86.35148116382243,21.59093084022385,0.8240534521158128,0.4416504197668404,-0.726027397260274,0.338235294117647,34.02815924239172,26.64069657583631,8.28811849310575,8.700000000000001,0.0265,51.900000000000006,0.1676300578034682,8.4,-28.3,59.58853648145144,0.6608784473953013,0.807177100608529
2024-09-29,2024,9,272,86.35148116382243,21.59093084022385,0.868169398907104,0.4994891142026252,-0.7934426229508196,0.3754085994468192,30.077702082509724,24.77000000000004,3.8000000000000114,29.4,0.0896,37.4,0.786096256684492,43.3,1.6,33.31975135362513,0.8240534521158128,0.8734877358738746
2024-02-18,2024,2,48,86.35631708008918,21.59093084022385,0.6486576068942658,0.3788377405242169,-0.5855913292955053,0.2407084060863058,32.00470593870534,18.890000000000043,9.21999999999997,27.9,0.0852,41.400000000000006,0.6739130434782609,49.1,25.0,2.1341877633023842,0.7978287092882992,0.6321830943377121
2024-03-13,2024,3,72,86.35631708008918,21.59093084022385,0.7115888830624018,0.4880768262417725,-0.6614914736574192,0.1745232097876934,33.120512106984975,22.49000000000001,9.100000000000025,11.0,0.0333,50.900000000000006,0.2161100196463654,22.6,10.3,26.716117038218375,0.6486576068942658,0.7145019723159369
2024-03-21,2024,3,80,86.35631708008918,21.59093084022385,0.6608784473953013,0.3718533277137055,-0.6232945091514143,0.1894659839063642,31.79299521978682,21.650000000000038,9.339999999999977,21.4,0.065,55.900000000000006,0.3828264758497317,28.200000000000003,-1.1,12.875274823054234,0.7115888830624018,0.659236628756724
2024-05-24,2024,5,144,86.35631708008918,21.59093084022385,0.8323657474600871,0.4560273536895674,-0.7330130404941662,0.353887399463807,34.01602568658407,26.63644096952157,8.288505366407092,20.700000000000003,0.0627,52.7,0.3927893738140418,27.8,0.7,59.81916760713865,0.6608784473953013,0.8205746216135182
2024-09-29,2024,9,272,86.35631708008918,21.59093084022385,0.8637316561844863,0.4881709388206485,-0.7869346733668342,0.3687451886066205,30.077754179669725,24.77000000000004,3.8000000000000114,27.4,0.0833,36.2,0.7569060773480663,54.5,20.200000000000003,33.39974450972755,0.8323657474600871,0.866357208849921
2024-10-15,2024,10,288,86.35631708008918,21.59093084022385,0.8792254676731213,0.5078865549404717,-0.80062893081761,0.3498349834983498,28.99361888319236,24.33000000000004,3.1999999999999886,35.4,0.108,45.6,0.7763157894736842,71.4,42.4,9.777612318801415,0.8637316561844863,0.8815605263262978
