date,NDVI,LST_Day_C,LST_Night_C,LST_DTR,rainfall_mm_8day,ET_mm8day,PET_mm8day,ET_stress,month,doy,NDVI_lag1,NDVI_lag2,NDVI_pred_real,NDVI_pred_extreme
2016-01-01,0.7874525867450203,25.44039650943858,15.758328493681411,9.68206801575717,0.06803584688794831,15.670575079872204,30.18632587859425,0.5287555396865752,1,1,0.8240139042605633,0.8141437969598792,0.8149360268623553,0.8108405073279246
2016-01-09,0.7767910672649935,26.293500339126872,14.507310782262012,11.786189556864864,0.07174644303797667,18.33593984962406,32.86959398496241,0.5647988490204933,1,9,0.7874525867450203,0.8240139042605633,0.7724282616352783,0.7761205108286726
2016-01-17,0.7722177532982072,25.286075597548464,13.779433332368814,11.506642265179648,2.0848354252821064,18.596660649819494,31.369434416365824,0.5959142784363478,1,17,0.7767910672649935,0.7874525867450203,0.7655363042392883,0.7678591869221576
2016-01-25,0.7599192456622348,28.809810020302656,16.75777346892553,12.052036551377123,3.7143388793263803,21.12514337458497,34.878599456685784,0.6101874747039313,1,25,0.7722177532982072,0.7767910672649935,0.7587313039142956,0.7589786151283356
2016-02-02,0.718850672058265,28.787724270778405,18.40215512868531,10.385569142093097,0.8294154289401399,20.88963963963964,35.41129129129129,0.5933418610413436,2,33,0.7599192456622348,0.7722177532982072,0.7462854064809027,0.7471928189707719
2016-02-10,0.7129490419464825,31.462637605730283,20.417503817411976,11.045133788318307,0.6219843155917298,21.859059598682244,38.346570829589695,0.574486807383982,2,41,0.718850672058265,0.7599192456622348,0.7009585098362529,0.7030405083329643
2016-02-26,0.6584552701164971,31.328283212222264,21.380064862748736,9.948218349473528,27.043081606736088,18.85389984825493,41.76610015174507,0.45901067997235856,2,57,0.7129490419464825,0.718850672058265,0.6959194279163079,0.6996147904238186
2016-03-05,0.6718910019637246,32.61250659204918,22.498040977307653,10.114465614741528,1.4478872837892434,11.759089547768793,45.47103923330339,0.2666567821447033,3,65,0.6584552701164971,0.7129490419464825,0.6547080115194986,0.6580186379757895
2016-03-13,0.6879073729133632,35.107664264322146,22.821564168912943,12.286100095409205,8.406523843498654,19.355901737567407,48.18930497303774,0.40910798930830305,3,73,0.6718910019637246,0.6584552701164971,0.6637305562891774,0.6655484426339862
2016-03-21,0.6832481957543496,35.138758466625816,23.115562745490635,12.02319572113518,0.18718930800827838,11.224026363091673,53.20748951467945,0.21467990354724037,3,81,0.6879073729133632,0.6718910019637246,0.6834192722514322,0.6824647698803564
2016-03-29,0.6842640349955601,36.697379550054045,23.404128374234443,13.293251175819607,30.88964876612538,10.126564839772387,56.53611859838275,0.1831994320921221,3,89,0.6832481957543496,0.6879073729133632,0.6809787189834544,0.6806439675681242
2016-04-06,0.7048624106917941,40.163589078834846,26.059136476834276,14.104452602000576,0.5163009068649047,1.3307623049219688,58.924549819927975,0.023267729276162788,4,97,0.6842640349955601,0.6832481957543496,0.6862850059196735,0.6861232941657586
2016-04-14,0.6707219075746942,41.416252473076696,26.35582441848862,15.060428054588074,7.842176359730709,1.1339622641509435,60.94333632824199,0.01923638900422043,4,105,0.7048624106917941,0.6842640349955601,0.7040577508262796,0.7043685408551457
2016-04-22,0.6643322423054018,41.485346208101184,26.806504439347663,14.678841768753523,11.602591905169266,2.8481281820904463,61.13812518718179,0.04845639148820612,4,113,0.6707219075746942,0.7048624106917941,0.6858862017010433,0.6848793501413158
2016-04-30,0.674268655651875,39.755417923710496,24.512625791421378,15.242792132289116,9.53253470194908,3.6321353698712193,62.03333333333334,0.06056457659575562,4,121,0.6643322423054018,0.6707219075746942,0.6831074392915066,0.6821847466936636
2016-05-08,0.7392083551282203,37.285295564884336,24.95160650533258,12.338182382955992,38.70274778072377,13.28236889692586,57.92793851717902,0.2330965683932509,5,129,0.674268655651875,0.6643322423054018,0.6897624425404316,0.6896638553843008
2016-05-16,0.6722886165570195,32.687295470254575,24.329043106869833,8.360113209786455,72.625273313473,20.736606498194945,60.03429602888087,0.3509004945580432,5,137,0.7392083551282203,0.674268655651875,0.7503646958925126,0.7497506033450536
2016-05-24,0.701449872358702,32.61917178344968,25.228747084044,7.39042469940568,22.5278805755426,5.620052770448549,58.47816622691293,0.09784090033713222,5,145,0.6722886165570195,0.7392083551282203,0.6857374307778179,0.6849333992395509
