date,year,month,doy,lon,lat,NDVI,EVI,NDWI,NDMI,LST_Day_C,LST_Night_C,LST_DTR,ET_mm8day,LE_MJm2day,PET_mm8day,ET_stress,GPP_gCm2_8day,PsnNet_gCm2_8day,rainfall_mm_8day
2023-03-14,2023,3,72,86.44726169777421,22.02260472450855,0.46399999999999997,0.1844197138314785,-0.5092783505154639,0.004804392587508526,31.782205844589903,19.88630336193463,11.938574448960646,2.3000000000000003,0.007,48.400000000000006,0.047520661157024795,4.7,1.8000000000000003,40.14909332574089
2023-03-14,2023,3,72,86.44451785074018,22.01810812154725,0.5213339872486512,0.21047004316318857,-0.5486769845232151,0.07076285812909913,31.75410358328501,19.89144483659192,11.907274283789713,2.4000000000000004,0.0073,44.300000000000004,0.054176072234762986,6.4,2.0,40.090720335596515
2023-03-14,2023,3,72,86.44936821284784,22.01810812154725,0.5568973525313516,0.23840769903762032,-0.5692883895131086,0.09150113969391072,31.760208878589285,19.892757818402906,11.908221359723203,2.6,0.0079,44.1,0.05895691609977324,5.6,-0.1,40.17193158176577
2023-03-14,2023,3,72,86.4542185749555,22.01810812154725,0.5331439393939393,0.22399936341211113,-0.5642512077294686,0.04891480401684484,31.766314173893555,19.894064523952565,11.909163908483501,2.4000000000000004,0.0073,44.2,0.05429864253393665,6.4,2.0,40.25314282793502
2023-03-14,2023,3,72,86.45906893706317,22.01810812154725,0.5331439393939393,0.22399936341211113,-0.5642512077294686,0.04891480401684484,31.77241946919783,19.895364998135875,11.910101962454117,2.9000000000000004,0.009000000000000001,47.800000000000004,0.060669456066945605,6.0,1.6,40.33435407410428
2023-03-14,2023,3,72,86.29626846453617,22.013611518585954,0.630659253375695,0.29603668767010927,-0.643714971977582,0.14628699050809604,31.546176051841318,19.85372253486622,11.848221668564372,11.9,0.0363,38.0,0.31315789473684214,25.3,12.400000000000002,37.59425807680018
2023-03-14,2023,3,72,86.44177471027544,22.013611518585954,0.518324607329843,0.1981188713227937,-0.5532940546331012,0.037938439513242654,31.7261231081007,19.89658184190729,11.876061095274164,2.4000000000000004,0.007200000000000001,44.5,0.05393258426966293,5.1000000000000005,0.1,40.032292274190766
2023-03-14,2023,3,72,86.44662491846674,22.013611518585954,0.5277382645803698,0.22181919642857142,-0.5595353339787029,0.0336862367661213,31.732121343309338,19.897903221741327,11.876919402596076,2.4000000000000004,0.0073,44.300000000000004,0.054176072234762986,5.1000000000000005,0.2,40.1135600807703
2023-03-14,2023,3,72,86.45147512665805,22.013611518585954,0.5277382645803698,0.22181919642857142,-0.5595353339787029,0.0336862367661213,31.73811957851799,19.899218216376553,11.877773562387697,4.4,0.0134,40.7,0.10810810810810811,8.200000000000001,-2.5,40.19482788735007
2023-03-14,2023,3,72,86.45632533484937,22.013611518585954,0.5718879191548002,0.2475739739102768,-0.5813308687615526,0.08188428706923807,31.74411781372664,19.90052687198344,11.878623604639229,2.8000000000000003,0.0086,43.900000000000006,0.06378132118451024,7.200000000000001,1.5,40.27609569392985
2023-03-14,2023,3,72,86.46117554304067,22.013611518585954,0.4822942643391521,0.19144723817065928,-0.5351239669421487,0.0037149611617696377,31.750116048935276,19.90182923428841,11.879469559052444,2.2,0.0066,45.7,0.04814004376367615,4.4,0.2,40.35736350050938
2023-03-14,2023,3,72,86.29353064684089,22.009114915624654,0.6315359477124183,0.293069457082196,-0.6202839756592292,0.2004809137360986,31.521528913897086,19.858550209068557,11.819920424426389,7.1000000000000005,0.021500000000000002,37.1,0.19137466307277629,11.4,-5.4,37.534078248628944
2023-03-14,2023,3,72,86.2983807011555,22.009114915624654,0.6042518397383484,0.2816632999199604,-0.6168108776266995,0.14169333721268546,31.527420095840853,19.86009928051925,11.82081806152652,6.7,0.0204,37.5,0.17866666666666667,10.9,-5.200000000000001,37.615402612530474
2023-03-14,2023,3,72,86.3032307554701,22.009114915624654,0.5905882352941176,0.2926544889234357,-0.5868544600938969,0.19893585574933487,31.53331127778461,19.861640187208263,11.821710967409768,11.5,0.0351,38.2,0.3010471204188481,24.900000000000002,12.9,37.696726976432004
2023-03-14,2023,3,72,86.3468812443015,22.009114915624654,0.42060085836909883,0.15603232098077466,-0.49435665914221216,-0.08055555555555555,31.58633191527845,19.875151337371605,11.829540244520656,1.9000000000000001,0.0059,50.400000000000006,0.037698412698412696,3.1000000000000005,0.6000000000000001,38.428646251545516
2023-03-14,2023,3,72,86.35173129861609,22.009114915624654,0.4797160243407707,0.1880042926984379,-0.5245559038662486,-0.02635969302635975,31.592223097222195,19.876614028903138,11.830387827234906,2.1,0.0064,46.0,0.04565217391304348,4.4,0.1,38.50997061544681
2023-03-14,2023,3,72,86.3565813529307,22.009114915624654,0.5164179104477612,0.20421011213850088,-0.566289825282631,-0.004246978111728178,31.59811427916597,19.878069228154054,11.831231068413436,2.5,0.0077,48.6,0.051440329218107,5.200000000000001,1.7000000000000002,38.591294979348575
2023-03-14,2023,3,72,86.38568167881829,22.009114915624654,0.44955925563173366,0.17746674914939686,-0.5312984997413347,-0.04792537793502732,31.633461370828513,19.886646260678344,11.836201182993609,2.0,0.006,46.1,0.04338394793926247,5.0,1.8000000000000003,39.07924116275727
2023-03-14,2023,3,72,86.39053173313289,22.009114915624654,0.456710948236372,0.18789340771173343,-0.5451895043731778,-0.04676258992805756,31.639352552772273,19.888050589438606,11.837014946358384,2.1,0.006500000000000001,45.1,0.04656319290465632,4.500000000000001,0.5,39.1605655266588
2023-03-14,2023,3,72,86.41963205902049,22.009114915624654,0.40249759846301636,0.16215797824993228,-0.4717741935483871,-0.040420637528754445,31.674699644434828,19.89633036946878,11.841812812675446,4.9,0.0148,43.7,0.11212814645308924,12.700000000000001,3.3,39.64851171006773
2023-03-14,2023,3,72,86.44388233059348,22.009114915624654,0.4891732283464567,0.19373197162235914,-0.5438775510204082,0.0023186485591255583,31.704155554153623,19.903044367980613,11.84570335894543,2.2,0.0067,45.1,0.04878048780487805,4.6,0.5,40.05513352957513
2023-03-14,2023,3,72,86.44873238490808,22.009114915624654,0.4814814814814814,0.1897994938680163,-0.544799176107106,-0.015425008204791632,31.710046736097382,19.904367490701212,11.846470066021144,2.2,0.0066,45.6,0.048245614035087724,5.6,1.6,40.13645789347666
2023-03-14,2023,3,72,86.4535824392227,22.009114915624654,0.5338491295938106,0.22004305190145904,-0.5773247140726007,0.016666666666666698,31.715937918041163,19.905684166287138,11.847233037189604,2.4000000000000004,0.0073,44.2,0.05429864253393665,5.1000000000000005,0.2,40.217782257378424
