Feature,Importance_%
ET_stress,53.62034053618786
doy,29.18775872467873
month,4.30026283810601
LST_Day_C,3.448158436049526
ET_mm8day,2.519836898181322
LST_DTR,2.3391955438678447
PET_mm8day,1.7532603240849598
LST_Night_C,1.6589592764043977
rainfall_mm_8day,1.1722274224393536
