zone,pheno_year,SOS,EOS,LOS,peak_doy,peak_ndvi,baseline_ndvi,amplitude,integrated_NDVI,pre_sos_rain_mm,season_rain_mm,mean_LST_Day,mean_LST_Night,mean_DTR,mean_ET,mean_ET_stress,annual_GPP,annual_PsnNet,mean_NDWI,mean_NDMI,mean_EVI
Dry,2001,78,354,276,219,0.9034975119295612,0.6539130434782608,0.24958446845130033,284.03233945464785,661.6370047729306,12525.374661816051,32.23241783551207,21.269730866899618,10.917904354071569,22.011369863013698,0.6121497852262644,14784.499999999998,4700.55,-0.7118006353859275,0.24194618707318574,0.45315132314823187
Dry,2002,55,323,268,235,0.8968480783335243,0.6846483251782345,0.21219975315528983,286.11893886935997,623.0147512999363,10389.043063020807,30.931820318798987,21.190489779244718,9.771346521813648,22.606712328767124,0.6010908417628194,15047.25,5119.099999999999,-0.7169379353502787,0.2714845972797287,0.454555858807767
Dry,2003,71,362,291,243,0.8978628380011062,0.6367920426663227,0.2610707953347835,278.5772529081737,884.4544695022137,10623.711626742548,30.925407627610234,21.38531039743105,9.700803596080066,21.322328767123288,0.5620584430433713,14323.750000000002,4307.449999999999,-0.7049501981638523,0.24824033715510013,0.4484013517843983
Dry,2004,60,347,287,207,0.9238488199656059,0.6359649122807018,0.287883907684904,277.49499313345,900.947379513578,8857.745988770972,32.051994914882975,21.632643555615893,10.008765512663507,22.716438356164385,0.6068207433889993,14231.800000000003,5365.700000000001,-0.7000548895174677,0.25550325436246724,0.45335563310961124
Dry,2005,54,353,299,235,0.893107877248714,0.6374218429395117,0.25568603430920234,280.516245650545,908.5206981514807,6652.052986855584,30.939464843141845,21.033795614158834,10.061063634024357,23.354109589041094,0.5873044087563909,14984.150000000003,4818.624999999999,-0.7059380631655673,0.2444350053572431,0.4608454883223179
Dry,2006,78,362,284,224,0.8886061461776134,0.6396039603960395,0.24900218578157385,279.4302025347884,511.79665154160637,12468.978717511733,31.292910056223935,21.35546941660648,10.00447168089326,23.04465753424658,0.6254978973411166,15083.499999999998,6148.475,-0.7102870821895773,0.245897223505741,0.4463037733060666
Dry,2007,72,360,288,219,0.9330496465831847,0.6732719292874344,0.2597777172957503,285.77704934190217,708.370392793339,13867.837023482263,31.040250622375407,21.366925632486353,9.494157802514254,24.46260273972603,0.608524493043987,13758.6,5981.700000000001,-0.7189610214259706,0.24667513950640207,0.4514511810727217
Dry,2008,77,328,251,183,0.9165029392786121,0.665296052631579,0.25120688664703317,280.8007830005412,553.7537979934607,13260.375281032942,32.547806085259815,22.5032163761847,10.000516139915701,22.6627397260274,0.5817574257473701,14878.0,4412.799999999999,-0.7042674252361263,0.2444982801209545,0.45611790850133843
Dry,2009,86,363,277,235,0.8906075742884124,0.5338051618357744,0.356802412452638,265.43615410671583,409.0527117873104,8692.236405569274,31.493454108913802,21.364612988312217,10.25926017631322,21.162465753424662,0.5610568166165997,12393.699999999999,4319.150000000001,-0.6882481518542558,0.21795631680037875,0.4040848142131226
Dry,2010,71,365,294,243,0.8846899892594156,0.5706168831168832,0.31407310614253237,278.2409790168435,475.3606949173346,8821.479182292029,31.973067099420238,22.04729249340789,9.809199805225475,23.18794520547946,0.5812968964044953,13047.550000000001,5303.200000000001,-0.7031125243222396,0.2388267585249402,0.4590376389251472
