lon,lat,zone,moisture_composite,mean_NDWI,mean_NDMI,mean_NDVI,mean_EVI,mean_LST,n_obs
86.195072188282,21.72582892906282,Wet,0.6336763212846728,-0.6464646480638925,0.20060012815085104,0.6958003779927358,0.41189767452151227,33.9187260263718,385
86.19533894098831,21.726273915886622,Dry,0.540031406633153,-0.7234737915866993,0.24670243695039715,0.7824578630695075,0.41033468680084684,27.242642116296132,159
86.19560570054489,21.726718902710413,Dry,0.5435373706841349,-0.732366144518876,0.2621350075166388,0.7955619851652864,0.4070923549512791,25.55181943314575,99
86.19772664826984,21.68985610537243,Wet,0.6391424572598764,-0.6397507903142886,0.19467603305468129,0.6876860657944476,0.39049742473303845,33.97327293714662,383
86.19776804618364,21.73032553202412,Wet,0.6172203940510954,-0.6507956314032887,0.19529349474619895,0.6941019770697874,0.41493372520826705,33.71483284910549,412
86.19799292226068,21.69030109219623,Dry,0.5462217030771541,-0.7154038335038063,0.2393135483642934,0.7811165993778867,0.3594420928759431,27.279396621619604,148
86.19803486811642,21.730770518847923,Dry,0.53140847907185,-0.7298126191511013,0.24985143763172374,0.7824424492074837,0.42305244398904374,27.221530248603564,165
86.19825920309594,21.690746079020023,Dry,0.5465163331883434,-0.7240787815528383,0.2521622016995722,0.7946880062235108,0.34568167881607564,25.5558143637392,92
86.19830169690046,21.731215505671717,Dry,0.543514963425951,-0.7386758329782899,0.2713133152617595,0.7962671124479749,0.4203062226381265,25.50659762559384,102
86.19987540595426,21.68535950241113,Wet,0.6126043864798303,-0.6512149187433125,0.19264566312114004,0.698277580457041,0.40153092931278506,33.9204616866538,387
86.19991262803104,21.72582892906282,Wet,0.6448191489046795,-0.6451625317171475,0.20656933337868838,0.6964177019184985,0.40658357933450706,33.93258183587003,385
86.2001416257321,21.685804489234933,Dry,0.5354353916112152,-0.7232668498784293,0.24315621349386907,0.784293928047271,0.3732027648622488,27.21829651143778,144
86.20017939571734,21.726273915886622,Dry,0.5415340336660526,-0.7202800544867654,0.24310952072612554,0.7824587517919843,0.39175976030582416,27.224430050980406,159
86.20040785235382,21.686249476058727,Dry,0.5311949502419683,-0.7387868397075287,0.26277742583105185,0.8056325638134673,0.36454539672265185,25.59915720981401,90
86.20041766847214,21.69435270833373,Wet,0.6241722106512428,-0.6255582016899248,0.1634267377422985,0.6632930276677059,0.3719875435894546,33.91194441803572,389
86.20044617025428,21.726718902710413,Dry,0.5455916543977626,-0.7283524829614096,0.2577367997832597,0.7959331736198492,0.3836449658308173,25.524461874090687,98
86.2004646036651,21.73482213498542,Wet,0.6054509521300755,-0.6383997928389012,0.16892201712375066,0.6684212525229347,0.39265981727353577,33.87176018796214,391
86.2006840116307,21.694797695157533,Dry,0.530047292657038,-0.703835473709559,0.21103802161156549,0.765185984499791,0.35825276022060865,27.251188631529867,153
86.20073149483414,21.73526712180922,Dry,0.5356155627705531,-0.72267001256737,0.24241373203215863,0.7672836906205754,0.404633047913282,27.244198071285965,156
86.20095036163468,21.69524268198132,Dry,0.5217431193068239,-0.7150860166348866,0.22156913351584798,0.7804571926433056,0.3532188665261837,25.591085818990994,97
86.20099839285538,21.735712108633013,Dry,0.546849745046531,-0.7330695147376167,0.265498378563914,0.784185433044675,0.4015438029305164,25.48514934568682,100
86.2025658783064,21.68985610537243,Wet,0.6135786506377738,-0.6411951847501933,0.17873327236493114,0.6844375637193639,0.38766607214578735,33.893559134336705,387
86.20260863732345,21.73032553202412,Wet,0.6221629039501416,-0.6555989806667161,0.20578196470893506,0.705745784852983,0.4209874863042623,33.88173125570719,392
86.20283216724614,21.69030109219623,Dry,0.5312140405310808,-0.7141135815398517,0.22683840494886537,0.7769348267184664,0.3561776050415729,27.237166633339292,147
86.20287547424012,21.730770518847923,Dry,0.5379735160859054,-0.7285752899612508,0.25268323359060707,0.7868476890836119,0.42148769515915274,27.254411516515407,159
86.20309846303068,21.690746079020023,Dry,0.525517122368969,-0.7256643674061838,0.23964767556632588,0.7926034058569412,0.34717587377434594,25.594816772807196,97
86.2031093876606,21.698849311295028,Wet,0.6136390206470261,-0.6373258028177908,0.1731376442508951,0.6797527616010626,0.3852216661934965,33.85123445441285,392
86.20314231800839,21.731215505671717,Dry,0.5456066500311909,-0.7382413045243407,0.2721568265977658,0.8004756565854979,0.41752686483941653,25.52809977462082,101
86.20337579999666,21.69929429811883,Dry,0.5116345368284432,-0.7158550716357351,0.21555333394408738,0.7764966849035116,0.37909128105633877,27.238188084267403,153
86.20364221917912,21.69973928494262,Dry,0.5085939572142194,-0.7239795724848824,0.22524532590733537,0.7872419143289817,0.37216862637497883,25.579152369700907,96
86.2036550888119,21.707842517217628,Wet,0.60760386945181,-0.6472860512192553,0.18339048758297094,0.6904384212335474,0.3942138312758538,33.8512945688483,395
86.20392162456783,21.708287504041422,Dry,0.5220108422100602,-0.7274601873483366,0.23978909231108475,0.7870884002813143,0.3934901856735006,27.22652355309146,153
86.20417411171994,21.67636629648853,Wet,0.5967471987253398,-0.6614058641672856,0.19630053634960393,0.7106599518006157,0.4125689391076337,33.95800706046017,383
86.20418816717168,21.70873249086522,Dry,0.5271659696502979,-0.7375305629713549,0.2581024828869963,0.7963358924147877,0.38192650289412405,25.557281417254853,95
86.20444022307782,21.676811283312333,Dry,0.5214638299276722,-0.7308189774937763,0.24429715639278357,0.7910119356530967,0.38627452353582653,27.269474694308776,147
86.20470634127842,21.677256270136127,Dry,0.5270582525975317,-0.7426724990056813,0.26551898008261293,0.8081385392935457,0.38214315291027195,25.60786967877156,96
86.2047144849534,21.68535950241113,Wet,0.6138517447897325,-0.6499568577052363,0.1916930925196245,0.6958236718879249,0.4001511522253856,33.894949129753485,389
86.20475306778009,21.72582892906282,Wet,0.6377626801850929,-0.6502286595818934,0.20896971035636172,0.702034633017464,0.40830685243780696,33.84198952137096,393
86.20498071967627,21.685804489234933,Dry,0.5326766394092687,-0.7257517722353519,0.24482948923393355,0.7871086096633327,0.3790122740230043,27.229189856553806,146
86.20501985044636,21.726273915886622,Dry,0.5389831976928378,-0.7204622881163557,0.24157423066213682,0.7831126632673961,0.3864028058766691,27.24780692973557,156
86.20524696124339,21.686249476058727,Dry,0.531666023826869,-0.7375377785761378,0.2612899304637822,0.8049721721814326,0.3705700586124393,25.58029794303565,92
86.20525704958538,21.69435270833373,Wet,0.6059894169139483,-0.6231713518441078,0.1471121243019756,0.6546480958242205,0.36586759275812636,33.907580859163076,392
